date,refit_date,monthly_core_scale,monthly_approved_extra,daily_implied_extra,daily_actual_extra,daily_cap_binding,daily_reduction_vs_monthly,daily_total_scale,daily_btc_trend,daily_p_bad,daily_downside_semivol30,daily_downside_scaler
2023-04-14,2023-04-08,1.0,0.19941999369369875,0.2955696841005384,0.19941999369369875,False,0.0,1.1994199936936987,0.7972582131525144,0.25853461469704225,0.21399838205253904,1.0
2023-04-15,2023-04-08,1.0,0.19941999369369875,0.2892068618591956,0.19941999369369875,False,0.0,1.1994199936936987,0.7800953830742396,0.25853461478140166,0.21490590507429835,1.0
2023-04-16,2023-04-08,1.0,0.19941999369369875,0.30579314783922323,0.19941999369369875,False,0.0,1.1994199936936987,0.8248533486231266,0.25855147863638156,0.21490590507429835,1.0
2023-04-17,2023-04-08,1.0,0.19941999369369875,0.2902544632656645,0.19941999369369875,False,0.0,1.1994199936936987,0.7829459929237599,0.25855814861056875,0.22954013521771277,1.0
2023-04-18,2023-04-08,1.0,0.19941999369369875,0.29021802141150044,0.19941999369369875,False,0.0,1.1994199936936987,0.7828230593460441,0.2585348171681524,0.22954013521771277,1.0
2023-04-19,2023-04-08,1.0,0.19941999369369875,0.2413337309809654,0.19941999369369875,False,0.0,1.1994199936936987,0.6509643070500191,0.2585346742754002,0.29410649921163384,1.0
2023-04-20,2023-04-08,1.0,0.19941999369369875,0.21486368241022566,0.19941999369369875,False,0.0,1.1994199936936987,0.5795652740339529,0.25853500188267586,0.3017955077001347,1.0
2023-04-21,2023-04-08,1.0,0.19941999369369875,0.17182422020729757,0.17182422020729757,True,0.027595773486401187,1.1718242202072975,0.46347233999720877,0.25853516864314985,0.30770279454026994,1.0
2023-04-22,2023-04-08,1.0,0.19941999369369875,0.20188225248742,0.19941999369369875,False,0.0,1.1994199936936987,0.5445498959555439,0.2585353372139794,0.30770279454026994,1.0
2023-04-23,2023-04-08,1.0,0.19941999369369875,0.2148099936217061,0.19941999369369875,False,0.0,1.1994199936936987,0.5794210226143393,0.2585357270867166,0.29054705880712706,1.0
2023-04-24,2023-04-08,1.0,0.19941999369369875,0.20942374492738458,0.19941999369369875,False,0.0,1.1994199936936987,0.5648922489457776,0.25853560455743985,0.2907220907247634,1.0
2023-04-25,2023-04-08,1.0,0.19941999369369875,0.24813036007320688,0.19941999369369875,False,0.0,1.1994199936936987,0.669297277588216,0.2585346799337539,0.2907220907247634,1.0
2023-04-26,2023-04-08,1.0,0.19941999369369875,0.2501270479951682,0.19941999369369875,False,0.0,1.1994199936936987,0.6746831102460917,0.25853472779558995,0.2704057845548176,1.0
