date,btc_log_return_20d,btc_log_return_40d,btc_log_slope_20d_ann,btc_log_slope_40d_ann,btc_kama_gap,btc_kama_slope_10d,btc_distance_from_90d_high,btc_consolidation_duration_5pct,btc_rv20_ann,btc_rv20_to_rv60,btc_daily_rsi14,btc_daily_rsi28,btc_4h_rsi14,btc_4h_rsi28,btc_price_rsi_rank_divergence_20d,btc_rsi14_extreme_persistence_14d,btc_rsi14_failure_from_14d_max,eth_btc_log_return_20d,sol_btc_log_return_20d,bnb_btc_log_return_20d,eth_btc_log_return_40d,sol_btc_log_return_40d,bnb_btc_log_return_40d,brkk_return_dispersion_20d,alt_outperformance_breadth_20d,canonical5_outperformance_breadth_20d,high_beta_participation_20d,breadth_acceleration_10d,breadth_contraction_from_10d_max
2021-10-24,0.212047896292,0.25593074482,3.65327943739,4.04645263112,-0.00566960305713,0.110355944918,-0.0780163635898,0,0.646635691682,0.891173200242,60.7668032595,60.8518079903,44.1764558105,49.9324202687,0.55,0.5,17.4748757638,-0.0251208254231,-0.0218593223461,-0.102193622194,-0.0830963437156,-0.0151194184703,-0.117523496034,0.0386950218027,0,0,0,0,0
2021-10-25,0.203346645172,0.270657228965,3.29775404471,4.23172455296,0.0302343656781,0.0870201082337,-0.0442813267171,1,0.638859282674,0.887653602379,64.8369533101,62.977454645,44.4941138985,48.9457027157,0.7,0.428571428571,13.4047257133,-0.0205401792104,0.0386915051918,-0.110527690753,-0.115425095681,0.00743813440486,-0.153106077368,0.0547767144118,0.333333333333,0.25,0.5,0.225,0
2021-10-26,0.0867656479246,0.234085811557,3.01317627974,4.32770300278,-0.0145761619955,0.0786701024638,-0.0859466487155,0,0.615785819005,0.85256479276,56.9751776181,58.8824618343,56.9649650296,55.1071040216,0.4,0.428571428571,21.2665014052,0.0579453236378,0.174693347163,0.00793814810388,-0.0874400428735,0.0376946757369,-0.114706648133,0.0697659279687,1,0.75,1,0.65,0
2021-10-27,0.0825472921077,0.211036127678,2.35111263143,4.35163209785,-0.0445896932778,0.0610576509378,-0.114966786316,0,0.620294663115,0.852700709981,52.2252400389,56.2410248298,38.7058064024,45.8888210083,0.35,0.428571428571,26.0164389845,0.00660721698506,0.0964084788562,-0.059552590938,-0.0681539476118,0.0121887321612,-0.112511515891,0.0557057017439,0.666666666667,0.5,0.5,0.35,0.25
2021-10-28,0.115812761748,0.226615720323,1.85106751709,4.43881100711,-0.00911202190581,0.0461037623732,-0.0822030923279,0,0.635318147285,0.868000163405,56.6221568209,58.4246489565,33.0993192925,41.3438389486,0.35,0.428571428571,21.6195222025,0.0689064295831,0.0913150155636,0.0441145490468,-0.00546038256783,-0.082664275303,-0.046203297484,0.0338907137433,1,0.75,1,0.525,0
2021-10-29,0.124799546667,0.275940096442,1.53558037339,4.51606585281,0.0180207151888,0.0254636340811,-0.0567821202608,0,0.639870446282,0.880239559352,59.7197598435,60.0295325196,48.6103909166,48.7104427617,0.65,0.357142857143,18.5219191799,0.0871741614339,0.120339544074,0.103875018346,0.00739063320237,-0.00444289063422,-0.0152338946827,0.0464495032001,1,0.75,1,0.45,0
2021-10-30,0.123746787669,0.363297367542,1.08787280043,4.43437364114,0.011066720609,-2.76681613931e-05,-0.0627595683183,0,0.640251024902,0.880165726262,58.6590390319,59.4697470514,56.7633819724,53.3949054484,0.5,0.285714285714,19.5826399914,0.112179729772,0.158668985344,0.144255144417,0.00956808070656,0.0246671989525,0.0089383814472,0.0622331941626,1,0.75,1,0.375,0
2021-10-31,0.0644900175336,0.408704126974,0.814030064537,4.23917535604,0.00190350377432,-0.000898997187304,-0.071234993313,0,0.611442584787,0.844598551401,57.1101278085,58.6653357555,54.2550198485,52.167466298,0.35,0.214285714286,21.1315512149,0.126420736236,0.271054208912,0.174456355496,0.0295659654476,0.0793688308799,0.0121281679054,0.0976105188084,1,0.75,1,0.3,0
2021-11-01,0.0841187204871,0.335652623657,0.321839806702,4.10111785592,-0.00442461505019,-0.000443907062362,-0.0771241099243,0,0.599050464669,0.827123212955,56.0035536581,58.099052067,50.8727118689,50.4258431994,0.35,0.142857142857,22.2381253652,0.128684741775,0.20752738605,0.131885493648,0.00354172879725,-0.0153703458459,0.0390902968562,0.0745692905191,1,0.75,1,0.225,0
2021-11-02,0.0971513235019,0.342956772713,0.116785528258,4.03173313586,0.0326092159628,0.000181475364609,-0.0421418269701,1,0.609884342746,0.837208552031,60.8555479829,60.4507575015,47.7283963087,49.0164523254,0.45,0.0714285714286,17.3861310404,0.143711899744,0.302714058991,0.0663017489877,0.0327034970736,0.0443560032736,0.0255900543552,0.112874275182,1,0.75,1,0.15,0
2021-11-03,0.0923532771568,0.384705165582,-0.170258619582,3.8662012006,0.0267088461775,0.000998268634437,-0.0470433889215,2,0.611012095382,0.838510467041,59.8594401237,59.9617517115,59.1843107015,55.4669993548,0.4,0,5.43602347756,0.101848667623,0.391461023356,0.092011181267,0.0675785430819,0.174469005618,0.0860024411656,0.146995587102,1,0.75,1,0.075,0
