date,PRICE_ONLY,BINANCE_ALL_PERP_COMMON,HYPERLIQUID_ALL_PERP_NATIVE,BINANCE_COMMON_COMPOUNDED_SENSITIVITY,HYPERLIQUID_COMMON_COMPOUNDED_SENSITIVITY
2024-12-20,48682.1865606395,42115.6219300678,34862.7039646229,42115.6219300678,34859.4656803344
2024-12-21,48426.6192967986,41885.6435795950,34667.8655842986,41885.6435795950,34664.6448143431
2024-12-22,47378.5073115708,40966.9594138641,33907.4929801863,40966.9594138641,33904.3424178116
2024-12-23,47226.7945800123,40823.9438974534,33791.1828272806,40823.9438974534,33788.0428141301
2024-12-24,49109.3216113600,42438.5101172713,35129.1610874317,42438.5101172713,35125.8963607027
2024-12-25,49490.6043758891,42755.1718568866,35391.7943578656,42755.1718568866,35388.5048024115
2024-12-26,47679.8074027595,41180.1625249990,34083.6699717754,41180.1625249990,34080.5012398938
2024-12-27,46936.8878760459,40526.3564135994,33537.8933748126,40526.3564135994,33534.7743876647
2024-12-28,47435.1158711513,40947.1952640057,33882.4242762868,40947.1952640057,33879.2726770430
2024-12-29,46657.7374454686,40264.8609802948,33316.8070148275,40264.8609802948,33313.7075592934
2024-12-30,46186.7958412557,39850.9733990891,32966.2444747500,39850.9733990891,32963.1766743617
2024-12-31,46577.0031769030,40175.5976967449,33231.4809351320,40175.5976967449,33228.3876304789
2025-01-01,47082.6077556098,40599.5311826697,33559.0892915281,40599.5311826697,33555.9607546958
2025-01-02,48273.7119768026,41614.1386358170,34393.8670491499,41614.1386358170,34390.6598257181
2025-01-03,48865.7251191529,42113.8487326432,34805.2186220669,42113.8487326432,34801.9725833352
2025-01-04,48888.7806759961,42125.9255663723,34811.1947808495,42125.9255663723,34807.9477278634
2025-01-05,48960.0129890319,42175.3578907213,34851.4581308649,42175.3578907213,34848.2068648415
2025-01-06,50887.2773573628,43822.4014106157,36212.2580869685,43822.4014106157,36208.8793775277
2025-01-07,48258.6900272014,41547.4554648598,34317.0677512735,41547.4554648598,34313.8618524992
2025-01-08,47315.9606519657,40723.6099550204,33620.5198575248,40723.6099550204,33617.3746509589
2025-01-09,46067.5560053890,39641.4927511144,32722.0552031832,39641.4927511144,32718.9934529346
2025-01-10,47149.4648884935,40568.0274152742,33480.6720878689,40568.0274152742,33477.5389290438
2025-01-11,47086.6892661045,40509.0139852433,33425.9825179370,40509.0139852433,33422.8540310505
2025-01-12,47059.3481232419,40479.4739183970,33393.7714301213,40479.4739183970,33390.6451794598
2025-01-13,47054.8883264087,40470.3210066812,33380.2240116170,40470.3210066812,33377.0985578674
2025-01-14,48062.7028616792,41324.9166723881,34085.0264508195,41324.9166723881,34081.8345661982
2025-01-15,50022.0717942671,43001.1653440634,35467.5545784644,43001.1653440634,35464.2330066657
2025-01-16,49768.1968640459,42777.4070835303,35276.8389007945,42777.4070835303,35273.5347159022
2025-01-17,51804.0642536982,44519.5482453801,36705.5842247831,44519.5482453801,36702.1453769033
2025-01-18,52042.3597597141,44712.3919451452,36863.1108788202,44712.3919451452,36859.6567660021
2025-01-19,50265.2185344829,43173.6968234779,35579.8564596705,43173.6968234779,35576.5200303699
