date,symbol,selected
2024-07-14,MKRUSDT,True
2024-07-14,TRXUSDT,True
2024-07-15,MKRUSDT,True
2024-07-15,TRXUSDT,True
2024-07-16,MKRUSDT,True
2024-07-16,TRXUSDT,True
2024-07-17,MKRUSDT,True
2024-07-17,TRXUSDT,True
2024-07-18,BNBUSDT,True
2024-07-18,ETHUSDT,True
2024-07-19,BNBUSDT,True
2024-07-19,TRXUSDT,True
2024-07-20,BNBUSDT,True
2024-07-20,RAYUSDT,True
2024-07-21,BNBUSDT,True
2024-07-21,SOLUSDT,True
2024-07-22,BNBUSDT,True
2024-07-22,SOLUSDT,True
2024-07-23,BNBUSDT,True
2024-07-23,SOLUSDT,True
2024-07-24,BNBUSDT,True
2024-07-24,SOLUSDT,True
2024-07-25,BNBUSDT,True
2024-07-25,SOLUSDT,True
2024-07-26,BNBUSDT,True
2024-07-26,SOLUSDT,True
2024-07-27,BNBUSDT,True
2024-07-27,SOLUSDT,True
2024-07-28,BNBUSDT,True
2024-07-28,SOLUSDT,True
2024-07-29,BNBUSDT,True
2024-07-29,SOLUSDT,True
2024-07-30,BNBUSDT,True
2024-07-30,SOLUSDT,True
2024-07-31,BNBUSDT,True
2024-07-31,SOLUSDT,True
2024-08-01,BNBUSDT,True
2024-08-01,SOLUSDT,True
2024-08-13,AAVEUSDT,True
2024-08-13,TRXUSDT,True
2024-08-21,AAVEUSDT,True
2024-08-21,TRXUSDT,True
2024-08-22,AAVEUSDT,True
2024-08-22,TRXUSDT,True
2024-08-23,AAVEUSDT,True
2024-08-23,TRXUSDT,True
2024-08-24,AAVEUSDT,True
2024-08-24,TRXUSDT,True
2024-08-25,SUNUSDT,True
2024-08-25,TRXUSDT,True
2024-08-26,SUNUSDT,True
2024-08-26,TRXUSDT,True
2024-08-27,SUNUSDT,True
2024-08-27,TRXUSDT,True
2024-08-28,SUNUSDT,True
2024-08-28,TRXUSDT,True
2024-08-29,SUNUSDT,True
2024-08-29,TRXUSDT,True
2024-08-30,SUNUSDT,True
2024-08-30,TRXUSDT,True
2024-08-31,SUNUSDT,True
2024-08-31,TRXUSDT,True
2024-09-02,AAVEUSDT,True
2024-09-02,TRXUSDT,True
2024-09-03,AAVEUSDT,True
2024-09-03,TRXUSDT,True
2024-09-04,AAVEUSDT,True
2024-09-04,TRXUSDT,True
2024-09-09,AAVEUSDT,True
2024-09-09,TRXUSDT,True
2024-09-10,AAVEUSDT,True
2024-09-10,TRXUSDT,True
2024-09-11,AAVEUSDT,True
