date,PIT_ALPHA_0018_ELIGIBILITY_EXIT,PIT_ALPHA_0016_DAILY_TOP2,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2025-01-25,30203.0512214211,21427.1667519854,23106.4401623901,59617.9199149639
2025-01-26,29018.4168613648,20915.4390602002,22637.2715691638,57163.0408773659
2025-01-27,29136.6551442100,20880.8476960363,22518.7755336073,56835.2362944823
2025-01-28,28057.1732191248,20642.5499539858,22353.9240483573,56419.1669081298
2025-01-29,28585.3867425041,21054.3252100267,22882.8447147656,57754.1120969339
2025-01-30,29788.2323196233,22261.7607598966,23101.1657795873,58305.1335895850
2025-01-31,29351.6196998742,21569.6138383956,22595.2618050084,57028.2803301971
2025-02-01,27949.4644242332,20972.3809235665,22199.5375033066,54194.8411224817
2025-02-02,25863.5151981270,19816.6837246249,21552.0833005021,52587.1397073623
2025-02-03,28730.8092721662,21538.6508986603,22352.3798961357,54539.8654970278
2025-02-04,27693.6177365649,20576.5783727190,21565.8791976366,52620.8017325077
2025-02-05,27274.8427061709,20189.4051404490,21312.0426317173,52001.4398467580
2025-02-06,27256.0504296004,20163.3494177260,21299.2305801412,51970.1784073521
2025-02-07,27637.1686094785,20449.2058203421,21288.7413746928,51944.5847185823
2025-02-08,27475.7082294183,20329.8191387935,21275.0513622822,51911.1810524403
2025-02-09,27810.9409282422,20577.8644331893,21279.0242453553,51920.8748975453
2025-02-10,27922.4072641673,20660.3405764974,21492.5738798121,52441.9365649979
2025-02-11,27302.8587844103,20201.9244208153,21128.0171877381,51552.4172814073
2025-02-12,27741.1951716438,20526.2581704678,21589.4517842657,52678.3189056295
2025-02-13,27836.8979012954,20597.0705101776,21311.0962869986,51999.1307631655
2025-02-14,30020.7978828050,22212.9812365030,21507.9404003491,52479.4309153597
2025-02-15,30591.4048390841,22635.1845924139,21523.2010361623,52516.6669067182
2025-02-16,30138.0956005345,22299.7721343726,21203.0012196207,51735.3785156161
2025-02-17,29701.0061592997,21976.3610246904,21128.4142554523,51553.3861276699
2025-02-18,29720.1278714243,21990.5095571276,21104.5328383788,51495.1154074550
2025-02-19,30442.6804313451,22525.1404659582,21319.0883777114,52018.6314854395
2025-02-20,30925.2030605892,22882.1684887120,21685.4120211133,52912.4621348986
2025-02-21,29823.9618876761,22067.3383963781,21217.0882997455,51769.7510280207
2025-02-22,30489.0372981218,22559.4408271917,21298.4937989383,51968.3806592871
2025-02-23,30658.5494012199,22684.8661799813,21233.8577928724,51810.6686351769
2025-02-24,28551.5107651408,21125.8266810805,20195.9404355785,49278.1475646296
2025-02-25,28037.0710029356,20745.1825413149,19562.2909536355,47732.0411688893
2025-02-26,26403.9690489211,19536.8181532852,18584.9948066312,45347.4360102416
2025-02-27,26735.8331675720,19782.3709686846,18686.1345712165,45594.2173007581
2025-02-28,26592.4170682387,19676.2545644525,18607.0210351069,45401.1800654185
2025-03-01,27063.7229512630,20024.9830951578,18985.2478862059,46324.0545728380
2025-03-02,31039.6273348195,22966.8332689887,20795.3185619282,50740.6317629509
2025-03-03,27131.8202175135,20618.2272172696,19019.6780688848,46408.0643087621
2025-03-04,27155.7098045029,20860.0469799049,19253.8090465243,46979.3445074918
2025-03-05,27891.4426206783,21205.8621980282,19987.0673764215,48768.4967531585
2025-03-06,28126.3516174916,20815.7160567344,19838.3611056146,48405.6530628642
2025-03-07,26777.2780030920,20275.4226473418,19147.8735863249,46720.8617071149
2025-03-08,26405.8927305835,20112.0794514511,19020.0839603259,46409.0546849416
2025-03-09,24522.2618531835,18698.4544630703,17809.4509711104,43455.1070200895
2025-03-10,24206.6554463174,18457.8016202629,17580.2397807683,42895.8311152525
2025-03-11,24774.8132387441,18891.0272612390,17992.8680451861,43902.6451612820
2025-03-12,24869.8463304276,18963.4908842101,18061.8864414949,44071.0502290641
2025-03-13,24545.3408533469,18716.0524169700,17826.2122439625,43496.0045697536
2025-03-14,24914.7865786306,18997.7582446034,18094.5245868582,44150.6873892438
2025-03-15,24959.6592816681,19031.9741011751,18127.1136771090,44230.2048548207
2025-03-16,24737.3870917540,18862.4894734357,17965.6870643350,43836.3234968067
2025-03-17,24920.4947584063,19002.1107851742,18098.6701892686,44160.8026699845
2025-03-18,24756.9295595381,18877.3907882550,17979.8799077170,43870.9540718359
2025-03-19,25283.3754011697,19278.8106758639,18362.2145986038,44803.8517190981
2025-03-20,25000.1710816319,19062.8647282867,18156.5356333513,44301.9945051205
2025-03-21,24985.3880643054,19051.5925390425,18145.7993715881,44275.7979982955
2025-03-22,24961.2245858602,19033.1676602902,18128.2504893831,44232.9786797473
2025-03-23,25174.1541605394,19195.5284563626,18282.8919675327,44610.3042915046
2025-03-24,25306.2244798113,19296.2333124486,18378.8088894665,44844.3418322706
2025-03-25,25296.5099494039,19288.8258919774,18371.7536490472,44827.1270271669
2025-03-26,25251.8449900041,19254.7684418762,18339.3154339544,44747.9776973707
2025-03-27,25291.4279331552,19284.9508069638,18368.0628019403,44818.1213505581
2025-03-28,24934.8878458497,19013.0856492285,18109.1232619371,44186.3081946766
2025-03-29,24705.1596006702,18837.9157094780,17942.2816408951,43779.2142023044
2025-03-30,24671.3088704390,18812.1042104588,17917.6973295457,43719.2284182150
2025-03-31,24692.2964825107,18828.1074613401,17932.9397182956,43756.4198866911
2025-04-01,25034.0223944052,19088.6766714996,18181.1203677756,44361.9813215138
2025-04-02,24693.8371254545,18829.2822160222,17934.0586201789,43759.1500102173
2025-04-03,24785.1701941412,18898.9245367851,18000.3898509012,43920.9983869297
2025-04-04,24873.4616736090,18966.2476172656,18064.5121078187,44077.4568617720
2025-04-05,24827.7641869616,18931.4028554623,18031.3240131470,43996.4778238392
2025-04-06,24162.8361423580,18424.3889903597,17548.4157283980,42818.1803441081
2025-04-07,24238.8969212934,18482.3860470694,17603.6553601002,42952.9651901577
2025-04-08,23941.5492729723,18255.6556787567,17387.7047110184,42426.0450407308
2025-04-09,24616.3500085949,18770.1975632790,17877.7831013517,43621.8375968693
